log_length,word_count,char_count_no_spaces,contains_quorum,contains_zookeeper,contains_leader,contains_follower,contains_election,contains_connection,contains_notification,contains_timeout,contains_received,contains_send,contains_worker,contains_listener,contains_handler,contains_peer,contains_server,contains_factory,contains_error,contains_failed,contains_exception,contains_interrupted,contains_leaving,contains_terminating,contains_ip_address,contains_port,contains_process_id,contains_thread,contains_queue,contains_message,contains_request,contains_response,ip_address_count,port_number_count,process_id_count,timeout_value_count,hex_number_count,event_template_length,event_template_word_count,has_parameters,parameter_count,unique_components,line_id,component_0.0.0.0/0.0.0.0:2181:Learner,component_0.0.0.0/0.0.0.0:2181:NIOServerCnxn,component_0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory,component_0.0.0.0/0.0.0.0:2181:ZooKeeperServer,component_0:0:0:0:0:0:0:2181:Environment,component_0:0:0:0:0:0:0:2181:FastLeaderElection,component_0:0:0:0:0:0:0:2181:FileTxnSnapLog,component_0:0:0:0:0:0:0:2181:FinalRequestProcessor,component_0:0:0:0:0:0:0:2181:Follower,component_0:0:0:0:0:0:0:2181:Learner,component_0:0:0:0:0:0:0:2181:QuorumCnxManager,component_0:0:0:0:0:0:0:2181:QuorumPeer,component_0:0:0:0:0:0:0:2181:ZooKeeperServer,component_1 cport:-1)::PrepRequestProcessor,component_188978561024:QuorumCnxManager$RecvWorker,component_188978561024:QuorumCnxManager$SendWorker,component_1:NIOServerCnxn,component_1:QuorumCnxManager$RecvWorker,component_1:QuorumCnxManager$SendWorker,component_1:ZooKeeperServer,component_2 cport:-1)::PrepRequestProcessor,component_2:ZooKeeperServer,component_3 cport:-1)::PrepRequestProcessor,component_32976:LearnerHandler,component_35276:LearnerHandler,component_3888:QuorumCnxManager$Listener,component_3:QuorumCnxManager$RecvWorker,component_3:QuorumCnxManager$SendWorker,component_3:ZooKeeperServer,component_42241:Leader,component_49928:Leader,component_52225:LearnerHandler,component_52241:LearnerHandler,component_52264:LearnerHandler,component_52265:LearnerHandler,component_52273:LearnerHandler,component_52308:LearnerHandler,component_52419:LearnerHandler,component_52476:LearnerHandler,component_52502:LearnerHandler,component_52703:LearnerHandler,component_52814:LearnerHandler,component_52818:LearnerHandler,component_52844:LearnerHandler,component_52855:LearnerHandler,component_57247:LearnerHandler,component_57319:LearnerHandler,component_57354:LearnerHandler,component_57438:LearnerHandler,component_57458:LearnerHandler,component_57502:LearnerHandler,component_57580:LearnerHandler,component_57617:LearnerHandler,component_57653:LearnerHandler,component_59060:LearnerHandler,component_59103:LearnerHandler,component_59203:LearnerHandler,component_59211:LearnerHandler,component_59348:LearnerHandler,component_59406:LearnerHandler,component_59455:LearnerHandler,component_59480:LearnerHandler,component_DatadirCleanupManager,component_FastLeaderElection,component_FileSnap,component_QuorumCnxManager,component_QuorumCnxManager$Listener,component_QuorumPeer,component_QuorumPeerMain,component_ZooKeeperServer,event_E1,event_E10,event_E11,event_E12,event_E13,event_E15,event_E2,event_E24,event_E25,event_E31,event_E37,event_E38,event_E40,event_E42,event_E44,event_E49,event_E5,event_E6,event_E7
27,4,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,4,1,1,70,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,4,43,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,36,4,1,2,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,4,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,4,0,0,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,46,7,0,0,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,4,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,4,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,11,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,11,1,2,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4,43,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,36,4,1,2,70,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,11,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,11,1,2,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,46,7,0,0,70,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,4,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,4,0,0,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
